Unique Sector ID,Lat,Long
WCDMA-310-260-000021928,32.713328,-117.161177
WCDMA-310-260-000021929,32.713328,-117.161177
WCDMA-310-260-000024100,32.723153,-117.170233
WCDMA-310-260-000024104,32.723153,-117.170233
WCDMA-310-260-000024108,32.723153,-117.170233
WCDMA-310-260-000049142,32.724889,-117.169598
WCDMA-310-260-000049161,32.719663,-117.156565
WCDMA-310-260-000049162,32.719663,-117.156565
WCDMA-310-260-000049163,32.719663,-117.156565
WCDMA-310-260-000049571,32.712362,-117.171497
WCDMA-310-260-000049572,32.712362,-117.171497
WCDMA-310-260-000049573,32.712362,-117.171497
WCDMA-310-260-000050020,32.735116,-117.154607
WCDMA-310-260-000050070,32.722653,-117.160334
WCDMA-310-260-000050078,32.722653,-117.160334
WCDMA-310-260-000050079,32.722653,-117.160334
WCDMA-310-260-000050160,32.764886,-117.162468
WCDMA-310-260-000050738,32.895427,-117.198843
WCDMA-310-260-000050739,32.887188,-117.191624
WCDMA-310-260-000051490,32.716053,-117.164930
WCDMA-310-260-000051494,32.716053,-117.164930
WCDMA-310-260-000051498,32.716053,-117.164930
WCDMA-310-260-000051500,32.713582,-117.146322
WCDMA-310-260-000054049,32.764362,-117.163146
WCDMA-310-260-000054998,32.713228,-117.166674
WCDMA-310-260-000054999,32.713228,-117.166674
WCDMA-310-260-000055000,32.720971,-117.166438
WCDMA-310-260-000055004,32.720971,-117.166438
WCDMA-310-260-000055008,32.720971,-117.166438
WCDMA-310-260-000055010,32.718712,-117.159442
WCDMA-310-260-000056850,32.776110,-117.161218
WCDMA-310-260-000058030,32.709022,-117.158079
WCDMA-310-410-000000041,32.706801,-117.148236
WCDMA-310-410-000000043,32.706801,-117.148236
WCDMA-310-410-000000071,32.712966,-117.156096
WCDMA-310-410-000000072,32.712966,-117.156096
WCDMA-310-410-000000073,32.712966,-117.156096
WCDMA-310-410-000000132,32.730921,-117.158634
WCDMA-310-410-000002222,32.891135,-117.199803
WCDMA-310-410-000002223,32.891135,-117.199803
WCDMA-310-410-000003192,32.764452,-117.162081
WCDMA-310-410-000003193,32.764452,-117.162081
WCDMA-310-410-000003402,32.746443,-117.158762
WCDMA-310-410-000003451,32.708227,-117.163934
WCDMA-310-410-000003651,32.717065,-117.156210
WCDMA-310-410-000003652,32.717065,-117.156210
WCDMA-310-410-000003653,32.717065,-117.156210
WCDMA-310-410-000003701,32.719876,-117.164773
WCDMA-310-410-000003702,32.719876,-117.164773
WCDMA-310-410-000003843,32.802284,-117.152713
WCDMA-310-410-000003852,32.816547,-117.157542
WCDMA-310-410-000004791,32.853879,-117.182864
WCDMA-310-410-000005241,32.750056,-117.155652
WCDMA-310-410-000005242,32.750056,-117.155652
WCDMA-310-410-000007931,32.712336,-117.171176
WCDMA-310-410-000007932,32.712336,-117.171176
